site,year,month,value
CBA,2007,8,374.01
CBA,2007,9,377.90
CBA,2007,10,384.18
CBA,2007,11,388.11
CBA,2007,12,389.14
CBA,2009,5,393.61
CBA,2009,6,389.26
CBA,2009,7,380.21
CBA,2009,8,376.25
CBA,2009,9,382.36
CBA,2009,10,390.24
CBA,2009,11,391.91
CBA,2009,12,391.78
CBA,2010,1,393.29
CBA,2010,2,394.02
CBA,2010,3,394.99
CBA,2010,4,395.95
CBA,2010,5,395.23
CBA,2010,6,389.82
CBA,2010,7,381.01
CBA,2010,8,379.07
CBA,2010,9,384.06
CBA,2010,10,389.98
CBA,2010,11,394.38
CBA,2010,12,396.12
CBA,2011,1,396.30
CBA,2011,2,396.96
CBA,2011,3,397.84
CBA,2011,4,398.49
CBA,2011,5,398.16
CBA,2011,6,393.94
CBA,2011,7,385.18
CBA,2011,8,380.37
CBA,2011,9,384.67
CBA,2011,10,390.99
CBA,2011,11,395.20
CBA,2011,12,397.55
CBA,2012,1,398.62
CBA,2012,2,399.54
CBA,2012,3,400.33
CBA,2012,4,400.66
CBA,2012,5,400.24
CBA,2012,6,395.09
CBA,2012,7,387.11
CBA,2012,8,384.75
CBA,2012,9,390.28
CBA,2012,10,395.55
CBA,2012,11,399.31
CBA,2013,7,389.31
CBA,2013,8,387.14
CBA,2013,9,390.65
CBA,2013,10,396.79
CBA,2013,11,400.03
CBA,2013,12,401.50
CBA,2014,1,403.07
CBA,2014,2,404.03
CBA,2014,3,404.85
CBA,2014,4,405.68
CBA,2014,5,405.22
CBA,2014,6,402.15
CBA,2014,7,395.58
CBA,2014,8,391.36
CBA,2014,9,393.16
CBA,2014,10,398.24
CBA,2014,11,402.89
CBA,2014,12,405.11
CBA,2015,1,405.35
CBA,2015,2,405.65
CBA,2015,3,406.63
CBA,2015,4,407.78
CBA,2015,5,407.81
CBA,2015,6,404.16
CBA,2015,7,395.53
CBA,2015,8,391.14
CBA,2015,9,395.55
CBA,2015,10,400.95
CBA,2015,11,404.18
CBA,2015,12,407.05
CBA,2016,1,409.21
CBA,2016,2,410.30
CBA,2016,3,410.36
CBA,2016,4,410.69
CBA,2016,5,411.46
CBA,2016,6,407.92
CBA,2016,7,400.47
CBA,2016,8,397.27
CBA,2016,9,400.82
CBA,2016,10,405.27
CBA,2016,11,408.27
CBA,2016,12,410.30
CBA,2017,1,411.33
CBA,2017,2,412.27
CBA,2017,3,413.12
CBA,2017,4,413.40
CBA,2017,5,413.43
CBA,2017,6,409.36
CBA,2017,7,402.72
CBA,2017,8,399.61
CBA,2017,9,401.97
CBA,2017,10,405.82
CBA,2017,11,409.82
CBA,2017,12,412.41
CBA,2018,1,413.39
CBA,2018,2,414.57
CBA,2018,3,415.81
CBA,2018,4,416.57
CBA,2018,5,415.63
CBA,2018,6,412.01
CBA,2018,7,407.38
CBA,2018,8,402.92
CBA,2018,9,404.20
CBA,2018,10,409.75
CBA,2018,11,413.24
CBA,2018,12,414.42
CBA,2019,1,415.30
CBA,2019,2,417.35
CBA,2019,3,418.47
CBA,2019,4,417.97
CBA,2019,5,417.54
CBA,2019,6,414.21
CBA,2019,7,406.91
CBA,2019,8,403.78
CBA,2019,9,406.86
CBA,2019,10,412.34
CBA,2019,11,415.69
CBA,2019,12,416.79
CBA,2020,1,417.85
CBA,2020,2,419.61
CBA,2020,3,420.49
CBA,2020,4,419.95
CBA,2020,5,418.86
CBA,2020,6,414.16
CBA,2020,7,406.13
CBA,2020,8,402.81
CBA,2020,9,407.26
CBA,2020,10,414.03
CBA,2020,11,417.53
CBA,2020,12,419.81
